study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp
PRJNA393472	SAMN07539642	SRX3130029	SRR5972702	1632839	human vaginal metagenome	3b73001f6605ce9ef25ed8d8233c8dde;cad6f3a17a19898dbfb5c3daa4c4bb0f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/002/SRR5972702/SRR5972702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/002/SRR5972702/SRR5972702_2.fastq.gz
PRJNA393472	SAMN07539643	SRX3130030	SRR5972703	1632839	human vaginal metagenome	eca477018778e79a790b14e0a24f2f25;c02416fc5a2200e710402f6c04faf0fd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/003/SRR5972703/SRR5972703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/003/SRR5972703/SRR5972703_2.fastq.gz
PRJNA393472	SAMN07539645	SRX3130032	SRR5972705	1632839	human vaginal metagenome	54f0b9cedf44d4d5ab60b82b88a21734;143fcf2d1aae1f126154e1c64b75b92e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/005/SRR5972705/SRR5972705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/005/SRR5972705/SRR5972705_2.fastq.gz
PRJNA393472	SAMN07539647	SRX3130034	SRR5972707	1632839	human vaginal metagenome	d8ac31a0033510d3d7b41c613fa1b0df;ae455377035fca9de1090ee44d43cf4d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/007/SRR5972707/SRR5972707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/007/SRR5972707/SRR5972707_2.fastq.gz
PRJNA393472	SAMN07539648	SRX3130035	SRR5972708	1632839	human vaginal metagenome	87af8dbe664df02457e2f9f648f232e2;ed567ca66f99ed59ac164a8ec1c1a2cd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/008/SRR5972708/SRR5972708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/008/SRR5972708/SRR5972708_2.fastq.gz
PRJNA393472	SAMN07539649	SRX3130036	SRR5972709	1632839	human vaginal metagenome	fd3c4740ab62c271c1e6f376e6ec7998;685f1e5cbdc7dbe9d4045fad22de1aae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/009/SRR5972709/SRR5972709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/009/SRR5972709/SRR5972709_2.fastq.gz
PRJNA393472	SAMN07539655	SRX3130042	SRR5972715	1632839	human vaginal metagenome	6988431e6e1a09b7a95b5573de5ff41b;541e425ab60f0a313a4e968bbdd5d865	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/005/SRR5972715/SRR5972715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/005/SRR5972715/SRR5972715_2.fastq.gz
PRJNA393472	SAMN07539658	SRX3130045	SRR5972718	1632839	human vaginal metagenome	5d7aad174b88a5272a81b2b34dfdcf08;00e18743624cc50a183625e3a27db219	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/008/SRR5972718/SRR5972718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/008/SRR5972718/SRR5972718_2.fastq.gz
PRJNA393472	SAMN07539659	SRX3130046	SRR5972719	1632839	human vaginal metagenome	668752fde7711cb5e9c436faece8af1e;ec8980a4287f15083f7acb1f1a411be7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/009/SRR5972719/SRR5972719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/009/SRR5972719/SRR5972719_2.fastq.gz
PRJNA393472	SAMN07539660	SRX3130047	SRR5972720	1632839	human vaginal metagenome	4f78fdcc240b23ac3f7181df12d5503e;14edef563e5af7c21612a0ee6f7d9885	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/000/SRR5972720/SRR5972720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/000/SRR5972720/SRR5972720_2.fastq.gz
PRJNA393472	SAMN07539666	SRX3130053	SRR5972726	1632839	human vaginal metagenome	cd8e155949073b4dc8c82d13a72795c7;bd2b99d3395df9268b82b1d9f599a749	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/006/SRR5972726/SRR5972726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/006/SRR5972726/SRR5972726_2.fastq.gz
