study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	submitted_md5	submitted_ftp	sample_alias
PRJEB30642	SAMEA5207978	ERX3120327	ERR3046737	9606	Homo sapiens	134ffd2904f34edf0575886d5a0524f6;5c35143e84a23978d03dcbf70727d210	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046737/4985-296-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046737/4985-296-MS28F-388R_R2.fastq.gz	1331
PRJEB30642	SAMEA5207985	ERX3120334	ERR3046744	9606	Homo sapiens	6e1cbf2f76ac7af318bd3bd5b07d52ae;3ceb5b73390b84729deba345fea54956	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046744/4985-386-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046744/4985-386-MS28F-388R_R2.fastq.gz	1338
PRJEB30642	SAMEA5207986	ERX3120335	ERR3046745	9606	Homo sapiens	f848a1c6d33fc057a6b36eaec0d561be;807d6a825fd2db99ca2166496eb94679	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046745/4985-506-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046745/4985-506-MS28F-388R_R2.fastq.gz	1339
PRJEB30642	SAMEA5207987	ERX3120336	ERR3046746	9606	Homo sapiens	f5c97943c0af948754bb93c8b8f05523;a052272ec2ad5b8126bd9bea66eda66d	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046746/4985-507-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046746/4985-507-MS28F-388R_R2.fastq.gz	1340
PRJEB30642	SAMEA5207990	ERX3120339	ERR3046749	9606	Homo sapiens	c759823aefd5c5558f2ad0f3f2d34058;cc4da21bb0ef208876dbe5f8f8cf9eed	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046749/4985-511-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046749/4985-511-MS28F-388R_R2.fastq.gz	1343
PRJEB30642	SAMEA5207995	ERX3120344	ERR3046754	9606	Homo sapiens	5d2ecc5d03be52b145d195a45dd5cbfe;fa0e8c6598ef0e51e454e6a5bd9936c1	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046754/4985-540-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046754/4985-540-MS28F-388R_R2.fastq.gz	1348
PRJEB30642	SAMEA5207998	ERX3120347	ERR3046757	9606	Homo sapiens	ca7a71436e42f0415410987e557976a6;e9917b94796712315d289079ba7c67ca	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046757/4985-B107-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046757/4985-B107-MS28F-388R_R2.fastq.gz	1351
PRJEB30642	SAMEA5208012	ERX3120361	ERR3046771	9606	Homo sapiens	7e69daaf1e6e3f24a986e2d8b7c82891;32ffc8302fca8598b15ce4bb52a542cd	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046771/4985-B139-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046771/4985-B139-MS28F-388R_R2.fastq.gz	1365
PRJEB30642	SAMEA5208013	ERX3120362	ERR3046772	9606	Homo sapiens	8e15b96b864f6fff03d026ef0892807b;2715fd202eb742787d87ea35ead65142	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046772/4985-B140-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046772/4985-B140-MS28F-388R_R2.fastq.gz	1366
PRJEB30642	SAMEA5208015	ERX3120364	ERR3046774	9606	Homo sapiens	8b04812dff5110d7d8504bd4dbbc8023;9ec102fd8c9372f95e4aa92b1b12d43a	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046774/4985-B142-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046774/4985-B142-MS28F-388R_R2.fastq.gz	1368
PRJEB30642	SAMEA5208025	ERX3120374	ERR3046784	9606	Homo sapiens	f6014b9d55348165e46fdfacb2275776;1f4fbb65860051f5b36e812b60907786	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046784/4985-B158-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046784/4985-B158-MS28F-388R_R2.fastq.gz	1378
PRJEB30642	SAMEA5208030	ERX3120379	ERR3046789	9606	Homo sapiens	66485c71f0012a87c1bd4a1dfe392d24;7d02132f6e76cdfbc43a52d439fddd08	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046789/4985-B166-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046789/4985-B166-MS28F-388R_R2.fastq.gz	1383
PRJEB30642	SAMEA5208033	ERX3120382	ERR3046792	9606	Homo sapiens	898474ced011ac5395b7829ca70b1c9c;cc3d54e931abd7b076f52ae9b4f90261	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046792/4985-B172-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046792/4985-B172-MS28F-388R_R2.fastq.gz	1386
PRJEB30642	SAMEA5208040	ERX3120389	ERR3046799	9606	Homo sapiens	c7f048d8c836f6361ccea0b2029d2c18;4bf33eb478081d70bdab90ef72b5a8b4	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046799/4985-B180-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046799/4985-B180-MS28F-388R_R2.fastq.gz	1393
PRJEB30642	SAMEA5208041	ERX3120390	ERR3046800	9606	Homo sapiens	e1fe198cedf2b2ed0221b6836b0a4863;788bc20f64fc4639941d9f60472ab60f	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046800/4985-B183-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046800/4985-B183-MS28F-388R_R2.fastq.gz	1394
PRJEB30642	SAMEA5208042	ERX3120391	ERR3046801	9606	Homo sapiens	afed4550271edf84a2636923635647a9;fb4f19445595c299012e445a2960d8b1	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046801/4985-B184-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046801/4985-B184-MS28F-388R_R2.fastq.gz	1395
PRJEB30642	SAMEA5208054	ERX3120403	ERR3046813	9606	Homo sapiens	e5cc5c0c6bc3052b5dac56d5c9fb0abe;afc0b5628063c6cf36ef7b22dc31210e	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046813/4985-B203-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046813/4985-B203-MS28F-388R_R2.fastq.gz	1407
PRJEB30642	SAMEA5208056	ERX3120405	ERR3046815	9606	Homo sapiens	8f1c112622ae8bf7fab9c83d7205fa12;e324493f907cff0a92ad160998e4617d	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046815/4985-B206-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046815/4985-B206-MS28F-388R_R2.fastq.gz	1409
PRJEB30642	SAMEA5208061	ERX3120410	ERR3046820	9606	Homo sapiens	5b69b4a87e72172e09934a3f63e02538;5e29d59dc21eef04271ad99a9c0e0feb	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046820/4985-B32-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046820/4985-B32-MS28F-388R_R2.fastq.gz	1414
PRJEB30642	SAMEA5208063	ERX3120412	ERR3046822	9606	Homo sapiens	6ed4ca9d5ad7489de6b140b98783a904;f4934509481cb98e07e4b03e64ed9af7	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046822/4985-B9-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046822/4985-B9-MS28F-388R_R2.fastq.gz	1416
PRJEB30642	SAMEA5208069	ERX3120418	ERR3046828	9606	Homo sapiens	5c607057cb8e7cd19e07dc5c703a81b3;860b5c0f0713b785429994f587ae8181	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046828/4985-M179-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046828/4985-M179-MS28F-388R_R2.fastq.gz	1422
PRJEB30642	SAMEA5208071	ERX3120420	ERR3046830	9606	Homo sapiens	55be636cd820bd6c2061b303d470a0e6;55f05b5cad417b3cc65ea15a5b553de5	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046830/4985-M184-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046830/4985-M184-MS28F-388R_R2.fastq.gz	1424
PRJEB30642	SAMEA5208073	ERX3120422	ERR3046832	9606	Homo sapiens	e6745541c9f1571ac59a48683ea1c1b5;a2c4126b8fc0b67c54e90163f6504eff	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046832/4985-M189-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046832/4985-M189-MS28F-388R_R2.fastq.gz	1426
PRJEB30642	SAMEA5208080	ERX3120429	ERR3046839	9606	Homo sapiens	72bd6856aadaa4ea0c720ed14c4c625a;c81e1eaf39de474a50a22f363d0e1459	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046839/4985-M196-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046839/4985-M196-MS28F-388R_R2.fastq.gz	1433
PRJEB30642	SAMEA5208081	ERX3120430	ERR3046840	9606	Homo sapiens	f662f1e51e61737a25ad917de0d405ea;3fc2e85f31ae45b9d967e946793d53f0	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046840/4985-M197-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046840/4985-M197-MS28F-388R_R2.fastq.gz	1434
PRJEB30642	SAMEA5208082	ERX3120431	ERR3046841	9606	Homo sapiens	47acc871986fd1e1ee702f174d25bb00;b1b4830035dc3b8624ae9cd45f2e14d7	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046841/4985-M198-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046841/4985-M198-MS28F-388R_R2.fastq.gz	1435
PRJEB30642	SAMEA5208086	ERX3120435	ERR3046845	9606	Homo sapiens	1509adb3946d14cb139982af5167d136;b2c764b749969a8cb194d8b3d8aab821	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046845/4985-M203-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046845/4985-M203-MS28F-388R_R2.fastq.gz	1439
PRJEB30642	SAMEA5208096	ERX3120445	ERR3046855	9606	Homo sapiens	4ac3e214034e149fe9cee4fce1efeb77;d33541d8577b8292a9d3d88625111db6	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046855/4985-M215-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046855/4985-M215-MS28F-388R_R2.fastq.gz	1449
PRJEB30642	SAMEA5208097	ERX3120446	ERR3046856	9606	Homo sapiens	ed9009c8f042f5029ed073669502a4cc;891a5277c52acc73a525c6675d1a20ef	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046856/4985-M216-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046856/4985-M216-MS28F-388R_R2.fastq.gz	1450
PRJEB30642	SAMEA5208100	ERX3120449	ERR3046859	9606	Homo sapiens	3643621524cc74cebf86420cd23d0420;2be05bf4552069f77692868239472bf6	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046859/4985-M219-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046859/4985-M219-MS28F-388R_R2.fastq.gz	1453
PRJEB30642	SAMEA5208101	ERX3120450	ERR3046860	9606	Homo sapiens	7ccaab22438dc83a2c6594f0e5613a8f;8111b3d5e43a05d0ed7e563c1e835229	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046860/4985-M220-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046860/4985-M220-MS28F-388R_R2.fastq.gz	1454
PRJEB30642	SAMEA5208102	ERX3120451	ERR3046861	9606	Homo sapiens	fa1188a00806927bcb4c3e90de699074;e0371b5446c78862372c19eb6794b6a2	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046861/4985-M221-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046861/4985-M221-MS28F-388R_R2.fastq.gz	1455
PRJEB30642	SAMEA5208107	ERX3120456	ERR3046866	9606	Homo sapiens	390ee3eb53d6ad9daa6c1315e3192839;0c787452016bb8863228c43c99d0a4db	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046866/4985-M226-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046866/4985-M226-MS28F-388R_R2.fastq.gz	1460
PRJEB30642	SAMEA5208108	ERX3120457	ERR3046867	9606	Homo sapiens	793075727ecdfcb7a0267b70ee2ff3b0;6a1cc0234e4f8647d36298542963353d	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046867/4985-M227-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046867/4985-M227-MS28F-388R_R2.fastq.gz	1461
PRJEB30642	SAMEA5208110	ERX3120459	ERR3046869	9606	Homo sapiens	0ab326941acecc2898bc941248f16e51;3044b7f68b036cff3b2a677fe4b749c3	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046869/4985-M229-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046869/4985-M229-MS28F-388R_R2.fastq.gz	1463
PRJEB30642	SAMEA5208118	ERX3120467	ERR3046877	9606	Homo sapiens	71bda4cb6872ec710e4c252d23e0c25d;f09092a1ba22107c01154be2deaf26ea	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046877/4985-M238-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046877/4985-M238-MS28F-388R_R2.fastq.gz	1471
PRJEB30642	SAMEA5208122	ERX3120471	ERR3046881	9606	Homo sapiens	3216e290e95407f785b3d3b7f7363605;fc7645893d7897977f4e49b3273b418f	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046881/4985-M242-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046881/4985-M242-MS28F-388R_R2.fastq.gz	1475
PRJEB30642	SAMEA5208124	ERX3120473	ERR3046883	9606	Homo sapiens	e92236bf8dd9ecf65cbb2de2d7f84a45;f48810670172b6a1a19f014fe659a5f3	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046883/4985-M244-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046883/4985-M244-MS28F-388R_R2.fastq.gz	1477
PRJEB30642	SAMEA5208125	ERX3120474	ERR3046884	9606	Homo sapiens	12f7b4fb8f73f3e014ffc986a5453cec;fbe8f577e4b804647eaea9febb58f4ac	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046884/4985-M245-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046884/4985-M245-MS28F-388R_R2.fastq.gz	1478
PRJEB30642	SAMEA5208126	ERX3120475	ERR3046885	9606	Homo sapiens	d7b2fc36555fcff8f58698740a341fb1;16e5c0de4d55ca7722b35f46c1b14878	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046885/4985-M246-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046885/4985-M246-MS28F-388R_R2.fastq.gz	1479
PRJEB30642	SAMEA5208128	ERX3120477	ERR3046887	9606	Homo sapiens	5586508273f977cad52a72fc52a29d80;d503c9c7a8a2a599eeea05552e984175	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046887/4985-M249-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046887/4985-M249-MS28F-388R_R2.fastq.gz	1481
PRJEB30642	SAMEA5208131	ERX3120480	ERR3046890	9606	Homo sapiens	658775f83189d420e7f6a63450985b97;4c9a09c81bdb7367d341931930e0249c	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046890/4985-M254-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046890/4985-M254-MS28F-388R_R2.fastq.gz	1484
PRJEB30642	SAMEA5208135	ERX3120484	ERR3046894	9606	Homo sapiens	8cef61ad9107a6167a3ff83fc18eb2cd;948200f888ef0d9b3f5f21b7c1aea1d2	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046894/4985-M258-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046894/4985-M258-MS28F-388R_R2.fastq.gz	1488
PRJEB30642	SAMEA5208136	ERX3120485	ERR3046895	9606	Homo sapiens	e117dbaef7ab222be20d6ec6aa227997;a765a76bc69daf421d8b36006af007d2	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046895/4985-M260-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046895/4985-M260-MS28F-388R_R2.fastq.gz	1489
PRJEB30642	SAMEA5208138	ERX3120487	ERR3046897	9606	Homo sapiens	8005c29996424ea1235d83a872b8f041;84a162ff46b9ad8a23f615002f2df8c9	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046897/4985-M262-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046897/4985-M262-MS28F-388R_R2.fastq.gz	1491
PRJEB30642	SAMEA5208141	ERX3120490	ERR3046900	9606	Homo sapiens	845834cf1a4d43b2147a3161191b8ae9;5a3b51c95f8b5417d6276ba595ece8b3	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046900/4985-M265-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046900/4985-M265-MS28F-388R_R2.fastq.gz	1494
