study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	submitted_md5	submitted_ftp	sample_alias
PRJEB30642	SAMEA5207921	ERX3120270	ERR3046680	9606	Homo sapiens	d631672fa75af6d508c5c6068d315e72;bb195dbfa9524aaf703eb2ea12a9a16b	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046680/3151-120-MS28F-388R_S21_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046680/3151-120-MS28F-388R_S21_L001_R2_001.fastq.gz	1274
PRJEB30642	SAMEA5207924	ERX3120273	ERR3046683	9606	Homo sapiens	696ea4b6a909f4446321c187761630a6;888b2af75cf73eaac72f80448782654e	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046683/3151-27-MS28F-388R_S135_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046683/3151-27-MS28F-388R_S135_L001_R2_001.fastq.gz	1277
PRJEB30642	SAMEA5207925	ERX3120274	ERR3046684	9606	Homo sapiens	632c3a943b2d9e9e2dc20956dde7161c;eb9544e53532c7052511757da2370e26	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046684/3151-28-MS28F-388R_S136_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046684/3151-28-MS28F-388R_S136_L001_R2_001.fastq.gz	1278
PRJEB30642	SAMEA5207930	ERX3120279	ERR3046689	9606	Homo sapiens	ac9e03dc4e4f7d78c35a81511834fd19;d830f081fccd89198da6b79045080d49	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046689/3151-34-MS28F-388R_S142_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046689/3151-34-MS28F-388R_S142_L001_R2_001.fastq.gz	1283
PRJEB30642	SAMEA5207931	ERX3120280	ERR3046690	9606	Homo sapiens	242c92f0553ed782e5dbe5d309c63ca9;608914fc5b7d91ba143036c7801f0b2b	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046690/3151-35-MS28F-388R_S143_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046690/3151-35-MS28F-388R_S143_L001_R2_001.fastq.gz	1284
PRJEB30642	SAMEA5207934	ERX3120283	ERR3046693	9606	Homo sapiens	69a37a3ec6c972071e988d35833c13d4;c02c77d8b35f02ab485537b3db10597e	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046693/3151-38-MS28F-388R_S7_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046693/3151-38-MS28F-388R_S7_L001_R2_001.fastq.gz	1287
PRJEB30642	SAMEA5207936	ERX3120285	ERR3046695	9606	Homo sapiens	639d55d7c618b9c6b591d37d681f8dc2;329aeefba91b2d5484bce9ea3bd46c34	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046695/3151-41-MS28F-388R_S149_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046695/3151-41-MS28F-388R_S149_L001_R2_001.fastq.gz	1289
PRJEB30642	SAMEA5207940	ERX3120289	ERR3046699	9606	Homo sapiens	21e2e9961786774bdc24131668cefca5;69e416628aa01d5bcf9537aea2247fe7	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046699/3974-81-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046699/3974-81-MS28F-388R_R2.fastq.gz	1293
PRJEB30642	SAMEA5207941	ERX3120290	ERR3046700	9606	Homo sapiens	470bc5b78f7d5c2c282d91552056dd19;f93af7fcd0d3e7519c331f0e6d809cc2	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046700/3974-83-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046700/3974-83-MS28F-388R_R2.fastq.gz	1294
PRJEB30642	SAMEA5207943	ERX3120292	ERR3046702	9606	Homo sapiens	0ec35073e2b545a4aa5d812a9b7437a6;ccc4c3e65523c5b0fc951ce8851f70c5	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046702/3974-87-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046702/3974-87-MS28F-388R_R2.fastq.gz	1296
PRJEB30642	SAMEA5207947	ERX3120296	ERR3046706	9606	Homo sapiens	d6a63a9145ecc890dbd50ab089f1bbee;f9ac79f86b1d834bd7e3e8e0533ca375	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046706/3974-91-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046706/3974-91-MS28F-388R_R2.fastq.gz	1300
PRJEB30642	SAMEA5207948	ERX3120297	ERR3046707	9606	Homo sapiens	20346fd60f4769f4c9327c805279d2ee;b7ecbf9e4c2160a5773764f7dff6cb1b	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046707/3974-92-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046707/3974-92-MS28F-388R_R2.fastq.gz	1301
PRJEB30642	SAMEA5207950	ERX3120299	ERR3046709	9606	Homo sapiens	4d68035cd8151133cda4b81e635ad7e1;2b2423cc2ecd9dec49740a78d00950cc	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046709/3974-94-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046709/3974-94-MS28F-388R_R2.fastq.gz	1303
PRJEB30642	SAMEA5207951	ERX3120300	ERR3046710	9606	Homo sapiens	abb31aede38f576d86861806f85d60e4;7ead5ad86f7d79ce05158fd95cef8d5d	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046710/3974-95-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046710/3974-95-MS28F-388R_R2.fastq.gz	1304
PRJEB30642	SAMEA5207958	ERX3120307	ERR3046717	9606	Homo sapiens	8b373c06dd49227002fa30e21e9ad937;3553ff298e7786ba2e430bc3a0de76b5	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046717/4711-297-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046717/4711-297-MS28F-388R_R2.fastq.gz	1311
PRJEB30642	SAMEA5207963	ERX3120312	ERR3046722	9606	Homo sapiens	cf2826a5fe90a0382c4fda75e9654ead;70cfc003369e488f788ef8f8cdad67ba	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046722/4711-512-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046722/4711-512-MS28F-388R_R2.fastq.gz	1316
PRJEB30642	SAMEA5207965	ERX3120314	ERR3046724	9606	Homo sapiens	80b4c72b1e7bb7cbb59ee59d8f5bbccc;7ac71629d436d3be7f537ae7ef867496	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046724/4711-542-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046724/4711-542-MS28F-388R_R2.fastq.gz	1318
PRJEB30642	SAMEA5207968	ERX3120317	ERR3046727	9606	Homo sapiens	b1967d8e92a6520c58cca0fef175216d;0711ecf0facfb7c52edf6778f5fa0a73	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046727/4985-237-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046727/4985-237-MS28F-388R_R2.fastq.gz	1321
PRJEB30642	SAMEA5207973	ERX3120322	ERR3046732	9606	Homo sapiens	4457def645c2d9a14bfb3a2f0643cf7a;3f5c031a310dac62ef083001d5dc9027	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046732/4985-276-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046732/4985-276-MS28F-388R_R2.fastq.gz	1326
PRJEB30642	SAMEA5207975	ERX3120324	ERR3046734	9606	Homo sapiens	cbe6460ed662627d97cff72687e6a739;958b3cb7e877c0c75b6a097273178fca	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046734/4985-293-MS28F-388R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046734/4985-293-MS28F-388R_R2.fastq.gz	1328
